question,session_id,category,timestamp,id,verified_proof,test_run,is_integration_test,answer_preview
Cara menghilangkan trauma masa kecil,6b7cbd7b-47e4-4bd7-9aa4-f002afabb819,General,2026-06-09 03:26:23.885000+00:00,2EYMG2RPk9KLTv9Z12qI,,,,
User Test C: Balanced Diet,FINAL-PROOFS-94e270,,2026-06-02 07:59:19.962000+00:00,50DPRPjWLUB6wlT2TKZW,True,,,
I need help with my dry skin.,195be96a-31dd-44dc-8a62-98d2399fd2e8,Skincare,2026-06-01 15:56:57.115000+00:00,5F04wgURe4O8vy0D6FNG,,True,,
How does my COMT variation affect my Liver Qi stagnation,295fd48f-4458-4630-b615-5bdfdd20090e,TCM,2026-06-10 15:36:01.644000+00:00,5MBbaMAIdamroP78aVcr,,,,
what can you do,536f5a2e-ab6b-4e3b-89a7-dfcf201b4b3d,General,2026-06-06 09:43:59.990000+00:00,6eQNYps5TDt9pROGdPIS,,,,
How about feasting,e77acc12-4383-4321-914a-555372755dbc,General,2026-06-11 01:30:17.104000+00:00,BrM2AsZxgPCv4MhNWTcq,,,,
Best recipe for protein-rich diet.,INTEGRATION-TEST-037cf480,Nutrition,2026-06-01 16:32:53.474000+00:00,Em5K4Mvz0WkcxCJMHXxr,,,True,A protein-rich diet is essential for building and ...
User Test A: Skincare glow,FINAL-PROOFS-94e270,,2026-06-02 07:59:19.704000+00:00,Ho5Gsnat0dl0Rr7RE4od,True,,,
How does my COMT variation affect my Liver Qi stagnation,295fd48f-4458-4630-b615-5bdfdd20090e,TCM,2026-06-10 15:36:15.660000+00:00,I3SDEZsGRAmj7MPlBjXO,,,,
DEBUG_LIVE_CHAT_TEST,DEBUG_123,,2026-06-01 17:49:04.212000+00:00,IcLwh83uKOYCg7dRtm7H,,,,
What should I eat for better digestion?,d01b44b8-c49a-430f-85d2-7b1b1c5a33c7,General,2026-06-04 05:24:40.588000+00:00,JymoDfS6OAiWurAp1QF5,,True,,
